,x,y,z,w,v
0,3.2651421849004314,2.888950518567667,0.5004019157267305,6.154092703468098,6.029882454074132
1,2.9039490052295482,2.825496547170939,1.2539700070345265,5.729445552400487,4.55392800342457
2,2.9345015145761484,2.443951098176978,0.573518004953014,5.378452612753126,5.295485024199283
3,2.9407978382898006,2.217169199034511,1.4569073104101244,5.157967037324312,4.424688366169477
4,4.062646707855,2.01270758417553,5.201537807069807,6.07535429203053,2.923755608640194
5,2.8114096765065635,3.124089138520289,0.32376327389742887,5.935498815026852,5.299056079115698
6,0.7146808726804337,4.011717566569896,2.3285790844060603,4.72639843925033,-0.899217339045193
7,1.766607574307364,4.10488274914114,3.1129697141122272,5.871490323448504,0.4202454345025006
8,3.9717112620452606,3.0989331532815942,5.040306758669607,7.070644415326855,2.903115765420914
9,3.9661055029572245,2.2428188791814687,4.752166262367038,6.208924382138694,3.180044743547411
10,4.660051234177653,1.9395017733776667,4.922822241147841,6.59955300755532,4.397280227207466
11,3.4731612697781156,2.8699122979407345,4.947459606267077,6.34307356771885,1.9988629332891543
12,4.05784300069641,2.1717056654043874,5.05413624895623,6.229548666100797,3.0615497524365907
13,3.4150765254137188,2.5581752023863547,0.5251399170538664,5.973251727800074,6.305013133773571
14,3.0541202625333814,2.3276696933826115,1.0777316470216038,5.381789955915993,5.0305088780451594
15,1.0107754132953457,4.007662176046751,4.344345787427824,5.018437589342097,-2.3227949608371325
16,3.4714386344318315,1.8165856657973312,4.751681645284417,5.2880243002291625,2.1911956235792465
17,2.967464905749944,3.7462786230497573,2.9522672424252625,6.713743528799702,2.9826625690746256
18,2.787815900399028,1.0183122132865836,0.9352879627128864,3.8061281136856113,4.64034383808517
19,3.069693990608557,2.856319978849435,0.6607923952967106,5.926013969457992,5.478595585920403
20,3.9664641578951243,0.7555898570845276,5.045715593394546,4.722054014979652,2.8872127223957023
21,3.4099806755439097,4.6608554924673875,0.957745980198283,8.070836168011297,5.862215370889537
22,4.160320007255543,1.825241340744001,4.967236701952841,5.985561347999544,3.353403312558245
23,3.0381894058926946,3.0544414021475412,1.2379309789005348,6.092630808040235,4.838447832884855
24,3.8162889288326167,2.13482239929776,5.183362953065976,5.951111328130377,2.4492149045992573
25,3.1217350135627138,3.063366499275136,0.9241227680838237,6.18510151283785,5.319347259041604
26,1.6391848813584695,4.058458761390124,3.233664067522809,5.697643642748593,0.04470569519412981
27,2.8596376776996304,4.081778172694744,0.01710771888374929,6.941415850394375,5.702167636515512
28,3.8955784797655864,2.323094793466462,4.9388744600328165,6.218673273232048,2.852282499498356
29,2.633119516292652,2.9081878857464516,0.6449154285301799,5.541307402039104,4.621323604055124
30,2.1147004370022064,3.894288608256259,3.9478601590763023,6.008989045258465,0.2815407149281106
31,4.5475279966377995,2.4342679290154714,4.690520097570122,6.981795925653271,4.404535895705477
32,2.2831752402502667,3.6289060214679676,2.7020999762424154,5.912081261718234,1.8642505042581181
33,3.3567280116228595,4.478395958878568,3.2777021128186146,7.835123970501427,3.4357539104271044
34,3.4994090261267057,2.3659348734136962,1.4344316480229193,5.865343899540402,5.564386404230492
